"CM視聴率 CMリスト"
"企業名:","ホンダ/本田技研工業"
"商品名:","指定なし"
"CM秒数:","全CM"
"番組名:","指定なし"
"検索期間:","2016年4月1日(金) 05:00～2017年3月31日(金) 28:59"
"レポート作成日時:","2017年5月30日（火）14:03"
"放送:","地デジ 5放送"
"サンプル:","関東エリア","個人 5311","FC 295","FT 209","F1 481","F2 783","F3- 552","F3+ 306","MC 267","MT 210","M1 495","M2 823","M3- 586","M3+ 304","世帯 2045","","※期間内最新サンプル数"
""
"CM視聴率(開始時)"
"日付","曜日","開始時刻","秒数","企業","商品","個人全体","FC","FT","F1","F2","F3-","F3+","MC","MT","M1","M2","M3-","M3+","世帯","放送局","番組"
"2017/3/23","木","22:45:36","15","ホンダ/本田技研工業","フィット","1.7","0.0","0.5","1.0","1.4","2.9","2.9","0.7","0.0","0.8","1.8","2.9","3.6","3.2","TX","カンブリア宮殿"
"2017/3/23","木","22:45:21","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.6","0.0","0.5","1.2","1.4","2.7","2.9","0.7","0.0","0.4","1.7","2.9","3.6","3.2","TX","カンブリア宮殿"
"2017/3/23","木","22:18:41","15","ホンダ/本田技研工業","フィット","4.0","2.7","1.9","4.3","5.3","4.3","2.3","2.2","1.5","5.0","4.5","5.3","1.6","7.3","CX","とんねるずのみなさんのおかげでした全落美ら海ＳＰ"
"2017/3/23","木","22:18:26","15","ホンダ/本田技研工業","フリード","4.0","2.7","1.9","4.3","5.3","4.5","2.3","2.2","1.5","5.0","4.4","5.3","1.6","7.3","CX","とんねるずのみなさんのおかげでした全落美ら海ＳＰ"
"2017/3/23","木","20:47:40","15","ホンダ/本田技研工業","フリード","3.6","0.3","1.5","1.6","2.7","6.3","12.0","1.8","2.0","1.8","1.5","4.1","11.7","6.4","EX","山村美紗サスペンス・京都～神戸プロポーズ殺人事件"
"2017/3/23","木","20:47:25","15","ホンダ/本田技研工業","フィット","3.6","0.3","1.5","1.6","2.7","6.3","12.0","1.8","2.0","1.8","1.5","4.1","11.7","6.4","EX","山村美紗サスペンス・京都～神戸プロポーズ殺人事件"
"2017/3/23","木","20:09:45","15","ホンダ/本田技研工業","フィット","4.1","3.3","2.4","3.5","4.9","6.1","5.5","4.7","3.9","1.2","2.4","5.4","5.5","7.1","TBS","ニンゲン観察！モニタリング３時間スペシャル"
"2017/3/23","木","20:09:30","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","4.0","3.0","2.4","3.5","4.8","6.1","5.5","4.7","3.9","1.2","2.3","5.4","5.5","7.0","TBS","ニンゲン観察！モニタリング３時間スペシャル"
"2017/3/23","木","10:48:18","15","ホンダ/本田技研工業","ヴェゼル ハイブリッド","1.0","0.3","0.0","0.6","1.0","2.0","0.6","0.7","0.5","1.2","0.8","2.0","0.3","2.2","EX","２０１７ワールドベースボールクラシック決勝"
"2017/3/23","木","10:48:03","15","ホンダ/本田技研工業","フィット","1.0","0.3","0.0","0.6","1.0","2.0","0.6","0.7","0.5","1.2","0.8","2.0","0.3","2.2","EX","２０１７ワールドベースボールクラシック決勝"
