StartDate,Geo,Query,Impressions,Clicks,Queries
2016-04-17,Japan / Saitama (Prefecture),トヨタ,1260,166,1123
2016-04-17,Japan / Saitama (Prefecture),toyota,164,35,182
2016-04-17,Japan / Chiba (Prefecture),トヨタ,1007,141,963
2016-04-17,Japan / Chiba (Prefecture),toyota,122,21,149
2016-04-17,Japan / Tokyo (Prefecture),トヨタ,6523,1046,7119
2016-04-17,Japan / Tokyo (Prefecture),toyota,985,164,1167
2016-04-17,Japan / Kanagawa (Prefecture),トヨタ,2571,382,2497
2016-04-17,Japan / Kanagawa (Prefecture),toyota,304,59,349
2016-04-18,Japan,トヨタ,38383,6002,31935
2016-04-18,Japan,toyota,4710,887,4567
2016-04-18,Japan / Ibaraki (Prefecture),トヨタ,515,88,392
2016-04-18,Japan / Ibaraki (Prefecture),toyota,73,12,75
2016-04-18,Japan / Tochigi (Prefecture),トヨタ,466,88,364
2016-04-18,Japan / Tochigi (Prefecture),toyota,92,24,88
2016-04-18,Japan / Gunma (Prefecture),トヨタ,455,65,383
2016-04-18,Japan / Gunma (Prefecture),toyota,47,9,50
2016-04-18,Japan / Saitama (Prefecture),トヨタ,1174,198,954
2016-04-18,Japan / Saitama (Prefecture),toyota,158,39,167
2016-04-18,Japan / Chiba (Prefecture),トヨタ,987,174,823
2016-04-18,Japan / Chiba (Prefecture),toyota,113,20,115
2016-04-18,Japan / Tokyo (Prefecture),トヨタ,6794,1134,5945
2016-04-18,Japan / Tokyo (Prefecture),toyota,1156,214,1183
2016-04-18,Japan / Kanagawa (Prefecture),トヨタ,2474,425,2031
2016-04-18,Japan / Kanagawa (Prefecture),toyota,313,60,286
2016-04-19,Japan,トヨタ,37002,4920,31389
2016-04-19,Japan,toyota,4482,853,4319
2016-04-19,Japan / Ibaraki (Prefecture),トヨタ,519,74,406
2016-04-19,Japan / Ibaraki (Prefecture),toyota,58,12,57
2016-04-19,Japan / Tochigi (Prefecture),トヨタ,392,52,302
2016-04-19,Japan / Tochigi (Prefecture),toyota,63,15,58
2016-04-19,Japan / Gunma (Prefecture),トヨタ,407,65,351
2016-04-19,Japan / Gunma (Prefecture),toyota,41,7,42
2016-04-19,Japan / Saitama (Prefecture),トヨタ,1126,196,923
2016-04-19,Japan / Saitama (Prefecture),toyota,167,28,160
2016-04-19,Japan / Chiba (Prefecture),トヨタ,970,158,804
2016-04-19,Japan / Chiba (Prefecture),toyota,127,30,130
2016-04-19,Japan / Tokyo (Prefecture),トヨタ,6398,814,5747
2016-04-19,Japan / Tokyo (Prefecture),toyota,1046,195,1104
2016-04-19,Japan / Kanagawa (Prefecture),トヨタ,2392,348,1921
2016-04-19,Japan / Kanagawa (Prefecture),toyota,310,64,292
2016-04-20,Japan,トヨタ,35537,5069,30221
2016-04-20,Japan,toyota,4555,857,4294
2016-04-20,Japan / Ibaraki (Prefecture),トヨタ,538,86,439
2016-04-20,Japan / Ibaraki (Prefecture),toyota,59,8,63
2016-04-20,Japan / Tochigi (Prefecture),トヨタ,369,56,321
2016-04-20,Japan / Tochigi (Prefecture),toyota,61,12,58
2016-04-20,Japan / Gunma (Prefecture),トヨタ,385,59,325
2016-04-20,Japan / Gunma (Prefecture),toyota,48,13,51
2016-04-20,Japan / Saitama (Prefecture),トヨタ,1120,184,888
2016-04-20,Japan / Saitama (Prefecture),toyota,153,33,158
2016-04-20,Japan / Chiba (Prefecture),トヨタ,1064,158,921
2016-04-20,Japan / Chiba (Prefecture),toyota,146,23,125
2016-04-20,Japan / Tokyo (Prefecture),トヨタ,6445,936,5612
2016-04-20,Japan / Tokyo (Prefecture),toyota,1045,191,1042
2016-04-20,Japan / Kanagawa (Prefecture),トヨタ,2574,340,2018
2016-04-20,Japan / Kanagawa (Prefecture),toyota,311,50,292
2016-04-21,Japan,トヨタ,31187,4360,25973
2016-04-21,Japan,toyota,3944,729,3767
2016-04-21,Japan / Ibaraki (Prefecture),トヨタ,560,100,446
2016-04-21,Japan / Ibaraki (Prefecture),toyota,72,7,73
2016-04-21,Japan / Tochigi (Prefecture),トヨタ,376,38,282
2016-04-21,Japan / Tochigi (Prefecture),toyota,53,8,63
2016-04-21,Japan / Gunma (Prefecture),トヨタ,414,80,335
2016-04-21,Japan / Gunma (Prefecture),toyota,42,6,38
2016-04-21,Japan / Saitama (Prefecture),トヨタ,1149,149,963
2016-04-21,Japan / Saitama (Prefecture),toyota,143,29,135
2016-04-21,Japan / Chiba (Prefecture),トヨタ,966,154,797
2016-04-21,Japan / Chiba (Prefecture),toyota,94,18,95
2016-04-21,Japan / Tokyo (Prefecture),トヨタ,5603,784,4803
2016-04-21,Japan / Tokyo (Prefecture),toyota,863,143,847
2016-04-21,Japan / Kanagawa (Prefecture),トヨタ,2666,349,1813
2016-04-21,Japan / Kanagawa (Prefecture),toyota,335,48,286
2016-04-22,Japan,トヨタ,28280,4039,24152
2016-04-22,Japan,toyota,3196,632,2972
2016-04-22,Japan / Ibaraki (Prefecture),トヨタ,522,79,447
2016-04-22,Japan / Ibaraki (Prefecture),toyota,50,8,49
2016-04-22,Japan / Tochigi (Prefecture),トヨタ,352,32,307
2016-04-22,Japan / Tochigi (Prefecture),toyota,39,8,39
2016-04-22,Japan / Gunma (Prefecture),トヨタ,387,52,329
