date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/15,水,23,30,アクセラ,2.8,0,1.5,4.1,3.7,4.5,2.9,0,1,1.6,3.5,3.2,1.9,5.5,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/15,水,16,30,企業,2.6,0,1,0.6,3.5,6.3,7.7,1.8,0.5,0.8,0.8,2.6,5.5,5.8,EX,相棒１２（再）,Drama
2017/3/14,火,24,30,企業,1.9,0.7,0,1,1.3,2.4,3.5,0.4,1,1.2,2.2,3.8,3.9,3.6,TBS,ＮＥＷＳ２３,News
2017/3/14,火,24,30,アクセラ,1.1,0.7,1.5,0.2,1.4,1.4,0.3,1.4,0,0.8,1.2,1.5,1.3,2.2,CX,ユアタイム〜あなたの時間〜,News
2017/3/14,火,23,30,CX-5,3.2,1.3,0,4.1,2.8,5.8,3.9,0.4,1,1.8,4.1,4.9,1.9,6.3,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/13,月,23,30,CX-5,1.2,0,1.5,0.8,1.5,2.4,1,0.4,0,0.4,1.1,1.5,1.9,2.6,CX,ユアタイム〜あなたの時間〜,News
2017/3/13,月,23,30,CX-5,1.3,0.3,1,0,1.8,1.8,3.5,0.4,0,1,1,1.7,3.2,2.5,TBS,ＮＥＷＳ２３,News
2017/3/13,月,23,30,企業,4.6,1.7,3.9,5.7,6.6,7.6,3.2,0,1.9,4.3,4.6,4.6,2.9,8.9,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/13,月,13,30,アクセラ,1.3,0,0.5,0.6,1.5,2,3.5,0,0,0.2,1.1,1.2,3.9,2.9,EX,ワイド！スクランブル第２部,Informative
2017/3/13,月,11,30,CX-5,1.3,0,0,0.4,1.3,2.2,3.5,0,1,0.4,1.2,1.4,3.9,2.9,EX,ワイド！スクランブル第１部,Informative
2017/3/12,日,23,30,CX-5,2.2,0.7,1,2.2,2.4,4.4,4.1,0.4,0.5,0.8,2.4,1.8,3.5,4.3,TBS,情熱大陸,Documentary
2017/3/12,日,23,30,アクセラ,1.8,0.7,1.9,0.8,2.4,2.8,1.6,0.7,0,0.8,2,3.4,1.9,3.4,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/12,日,23,30,企業,2.2,0.7,1,2.4,2.4,4.1,4.1,0.7,1,1,2.2,1.8,3.2,4.2,TBS,情熱大陸,Documentary
2017/3/12,日,22,30,CX-5,3.5,0.7,2.4,2.6,4.1,5.3,5.4,1.1,0.5,1.4,3.6,6.5,3.8,6.4,CX,Ｍｒ．サンデー,Informative
2017/3/12,日,18,30,CX-5,4.9,1.6,2.9,1.8,4.1,7.6,12.1,1.4,2.9,3,3.3,8.1,10.2,8.6,NTV,真相報道バンキシャ！,Variety
2017/3/11,土,24,30,CX-5,1.2,0.3,1.5,2,1.3,2.1,1.6,0,0,1,1.1,1.7,0.6,2.5,CX,スポーツＬＩＦＥＨＥＲＯ’Ｓ,Sports
2017/3/11,土,23,30,アクセラ,2.8,1.6,1.9,2.4,4,3.7,3.2,0.7,1.4,2.8,2.9,3,2.5,5.5,NTV,Ｇｏｉｎｇ！Ｓｐｏｒｔｓ＆Ｎｅｗｓ,Sports
2017/3/11,土,17,30,アクセラ,1.9,0.7,1,2,1.6,2.5,4.1,0.7,0,1.2,2.3,1.7,4.1,3.6,TBS,報道特集,News
2017/3/10,金,24,30,企業,1.5,0.7,0.5,1.2,1.4,2.5,2.2,0,0,0.8,1.8,2,2.2,3.1,CX,ユアタイム〜あなたの時間〜,News
2017/3/10,金,24,30,CX-5,2.9,0.7,3.9,2.4,3,3.5,3.2,1.1,2.4,1.8,3.2,5.4,2.2,5.5,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/10,金,23,30,CX-5,1.9,0,0,0.8,1.9,3.7,2.9,0,0.5,1.6,1.8,3.4,3.2,3.6,TBS,ＮＥＷＳ２３,News
2017/3/10,金,22,30,CX-5,5.6,0.3,1,3.8,5.5,7.2,9.6,1.8,1.9,3.8,5.3,9.2,12.4,10,EX,報道ステーション,News
2017/3/9,木,23,30,CX-5,1.3,0.3,0,0.8,2,1.8,0.6,0.4,1,1,1.7,1.5,2.2,2.6,CX,ユアタイム〜あなたの時間〜,News
2017/3/9,木,23,30,CX-5,1.5,0,0,0.6,1.1,2.6,2.2,0.4,0.5,1.6,1.6,2,3.8,3,TBS,ＮＥＷＳ２３,News
2017/3/9,木,23,30,アクセラ,2.9,0.7,1.9,2.2,3.3,4.2,5.1,0.7,2.4,2,2.4,4.7,2.9,5.4,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/9,木,22,30,企業,4.9,0,1.5,2.6,4.6,7.9,7,0.4,0.5,2.4,6.1,8.7,9.2,9.3,EX,報道ステーション,News
2017/3/8,水,23,30,CX-5,3.1,2,0.5,3,4.5,4.6,3.2,0.4,2.9,2.4,2.9,3.9,2.2,6.3,NTV,ＮＥＷＳＺＥＲＯ,News
2017/3/8,水,23,30,アクセラ,2.8,0.7,0.5,1.6,2.6,3.7,2.2,0.7,1.9,2.8,3.3,4,5.7,4.6,TBS,ＮＥＷＳ２３,News
2017/3/7,火,24,30,CX-5,1.3,0.3,0,1,1.5,1.2,1.3,0,0.5,0.4,2,1.5,3.2,2.5,TBS,ＮＥＷＳ２３,News
2017/3/7,火,24,30,CX-5,1.7,0.3,0.5,1,2,1.6,2.2,0.7,0.5,1.4,2.2,3,2.2,3.2,CX,ユアタイム〜あなたの時間〜,News
2017/3/7,火,23,30,企業,3.6,0.7,1.5,3.8,3.9,5.5,4.5,1.4,1.9,2.4,4.5,5.9,1.6,7.3,NTV,ＮＥＷＳＺＥＲＯ,News
