StartDate	EndDate	Network/Property	GeoID	Geo	Query	Most-specific category ID	Most-specific category	Most-specific Brand	KG labels	Impressions	Clicks	Page CTR	Cost USD	CPC USD	RPMad	Queries	Matched Queries	Coverage	IPQ	Depth	qCTR	RPMq	RPMmq
2016-03-30	2016-03-30	Google search (excluding search partners)	20631	Japan / Ibaraki (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	5	0	0.00	0.00	0.0000	0.0000	61	3	4.92	0.08	1.67	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	93	0	0.00	0.00	0.0000	0.0000	419	62	14.80	0.22	1.50	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20632	Japan / Tochigi (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	29	0	0.00	0.00	0.0000	0.0000	191	6	3.14	0.15	4.83	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	155	3	3.03	1.50	0.4985	9.6488	202	99	49.01	0.77	1.57	1.49	7.4038	15.1067
2016-03-30	2016-03-30	Google search (excluding search partners)	20633	Japan / Gunma (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	15	0	0.00	0.00	0.0000	0.0000	38	14	36.84	0.39	1.07	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	128	5	7.46	2.42	0.4835	18.8856	695	67	9.64	0.18	1.91	0.72	3.4782	36.0800
2016-03-30	2016-03-30	Google search (excluding search partners)	20634	Japan / Saitama (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	7	0	0.00	0.00	0.0000	0.0000	161	7	4.35	0.04	1.00	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	141	1	2.00	0.18	0.1780	1.2627	542	50	9.23	0.26	2.82	0.18	0.3285	3.5609
2016-03-30	2016-03-30	Google search (excluding search partners)	20635	Japan / Chiba (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	16	1	14.29	0.24	0.2398	14.9867	105	7	6.67	0.15	2.29	0.95	2.2837	34.2553
2016-03-30	2016-03-30	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	287	5	3.42	0.42	0.0837	1.4579	2823	146	5.17	0.10	1.97	0.18	0.1482	2.8659
2016-03-30	2016-03-30	Google search (excluding search partners)	20636	Japan / Tokyo (Prefecture)	honda	10185	/Vehicles/Motor Vehicles/Cars & Trucks	Brand	"/m/03kr0,/m/02k_kxs"	44	0	0.00	0.00	0.0000	0.0000	692	25	3.61	0.06	1.76	0.00	0.0000	0.0000
2016-03-30	2016-03-30	Google search (excluding search partners)	20637	Japan / Kanagawa (Prefecture)	ホンダ	13714	/Vehicles/Motor Vehicles/Used Motor Vehicles	Brand	/m/03kr0	165	7	8.14	4.47	0.6385	27.0896	1205	86	7.14	0.14	1.92	0.58	3.7094	51.9743
